,DEV_MAE,DEV_MSE,TEST1_MAE,TEST1_MSE,TEST2_MAE,TEST2_MSE,TRAIN_MAE,TRAIN_MSE
16,0.2479973855015949,0.10104079123164716,0.25433586267336905,0.10525004526939437,0.2610855464551273,0.11289624446563805,0.2383780923436419,0.09238503911737894
17,0.2440232439123811,0.09963143016137932,0.2504536826135861,0.10377704985643127,0.2561564854530147,0.1106832345102724,0.23641263902080675,0.09194970326588993
18,0.2414354175209199,0.0996750963117919,0.2479922052656511,0.10390554945447568,0.2530854716311632,0.11047572870435864,0.23455047285556802,0.09227557234429408
19,0.2359342035840555,0.09306783951245563,0.2462356612335649,0.09943318929794916,0.2496763844378043,0.10457609300592068,0.2378941325474639,0.091383987998269
20,0.24870372859823625,0.1011860603278782,0.2500804013907243,0.10270505820691453,0.2602182281838701,0.11140470241806916,0.2302001034336069,0.08867381017220101
21,0.2605984441353971,0.10868630428102193,0.25678070564131344,0.1074078431652163,0.2701668421598089,0.11791705814143955,0.23096540123424275,0.08988811715223911
22,0.2308657195633423,0.09239369590268773,0.2396666718766727,0.09753980612701484,0.24229380605844844,0.10186022188439467,0.23192059996944145,0.08983147322871543
23,0.23366319618075754,0.09234711728680052,0.23960744535682985,0.0961614380765548,0.2453870736747247,0.10188983958332863,0.2281373285108498,0.08705208623382603
24,0.22998591905472265,0.09116434954406832,0.2369329987601679,0.09543419357780908,0.24168862572452365,0.10058200938562953,0.2271925776084797,0.08711576044179449
25,0.24937215742995544,0.10046056442486093,0.24830042844757405,0.10081013898108096,0.26033848945086435,0.1100204976541084,0.22640188381202536,0.08632862858004219
26,0.2332854943659481,0.09317113241529973,0.2371452727584497,0.09589699337013084,0.2437341999634267,0.10179000485903464,0.22418996372665598,0.08608183349385624
27,0.2289795084158313,0.08946105332519251,0.2349367082076318,0.09331820074077156,0.2409472096782403,0.0987736453644648,0.224052721362786,0.08489801718384628
28,0.22437848724348167,0.08590978514579785,0.2335429518372153,0.09139400494685376,0.23759738029836275,0.09571801764026318,0.22792136218537154,0.08582276969601378
29,0.22965235972644504,0.0904681826277534,0.2341824585538049,0.09357459396963952,0.2407754847656693,0.09919519049395918,0.222147030805048,0.08465397398930535
30,0.22157121591239967,0.08576207466406842,0.2308753421754645,0.09105260398163892,0.2334944167494507,0.09456060326672774,0.2264862770018161,0.08592254581274067
31,0.2216223234767615,0.0864560768482519,0.2339337895588587,0.09336644946115397,0.23219542015052216,0.09483518026125776,0.2359183158306468,0.09097638112773296
32,0.2242883022391556,0.08906668730928527,0.2315940770436187,0.09337808640717926,0.23424313745189296,0.09689745163864204,0.2254044239144997,0.08712116449897989
33,0.22146347330360605,0.08679452735640658,0.2307674151629676,0.09206220099243274,0.2317786259272488,0.09473762546863064,0.2283630045375035,0.08771410391928099
34,0.2336410726154144,0.09188115762000784,0.2350935680188856,0.09366339049509974,0.2441025699934437,0.10022978190260977,0.21900670052454774,0.08311805766654227
35,0.21937492297039726,0.08559117254712338,0.22911467717797965,0.09106156509341276,0.22992068722370754,0.09355704174692464,0.22766046110708976,0.08719435305350046
36,0.22131597997958227,0.08521581228694126,0.22809797498363776,0.0894485881908628,0.2334246039273221,0.09399513934909363,0.22003685152370656,0.08286578188346537
37,0.22414727812912108,0.0861572841498209,0.2291617793423484,0.08965868670521697,0.2360673014968301,0.0949688389575988,0.2184504310644713,0.0819585518481614
38,0.2173735232714572,0.08328331042299468,0.2260930925423667,0.08838980149516057,0.2296783018426874,0.09202353038817178,0.22167989422250914,0.08354255357944726
